account_name,poker,pkrdac
azeym3411kma,999.0000 POKER,999.0000 PKRDAC
bamabamabama,1.7486 POKER,1.7486 PKRDAC
bankdirektor,9.0026 POKER,9.0026 PKRDAC
baoyoutian12,1.0951 POKER,1.0951 PKRDAC
baolupeng111,1.1837 POKER,1.1837 PKRDAC
barineka1111,5.0001 POKER,5.0001 PKRDAC
bbbbttttcccc,1.0071 POKER,1.0071 PKRDAC
bbbaaa111111,1.8012 POKER,1.8012 PKRDAC
bbheasxtlatd,79.2500 POKER,79.2500 PKRDAC
bcdzman12345,3.9017 POKER,3.9017 PKRDAC
bancorc11133,14547.4381 POKER,14547.4381 PKRDAC
basbasbasbas,253.5334 POKER,253.5334 PKRDAC
bbttkk112233,1.2180 POKER,1.2180 PKRDAC
bcrealestate,57.4281 POKER,57.4281 PKRDAC
beihai111111,1.9301 POKER,1.9301 PKRDAC
bender.ex,3.6748 POKER,3.6748 PKRDAC
benmocaptial,3.2805 POKER,3.2805 PKRDAC
beitaodedaye,30.7500 POKER,30.7500 PKRDAC
bearbearbe33,458.0579 POKER,458.0579 PKRDAC
bestluck2you,5.0000 POKER,5.0000 PKRDAC
besteosgames,16.4745 POKER,16.4745 PKRDAC
bettwowallet,1.1587 POKER,1.1587 PKRDAC
bestgambling,81.6339 POKER,81.6339 PKRDAC
bhasbhasbhas,5.0924 POKER,5.0924 PKRDAC
betdicegroup,3.7596 POKER,3.7596 PKRDAC
betterlife11,1.1011 POKER,1.1011 PKRDAC
biao55555555,7922.1028 POKER,7922.1028 PKRDAC
bigbluewhale,2.8594 POKER,2.8594 PKRDAC
bihuhuodong1,1.2153 POKER,1.2153 PKRDAC
betterlife33,1.6940 POKER,1.6940 PKRDAC
bettereos111,1.3552 POKER,1.3552 PKRDAC
betterlife55,1.3552 POKER,1.3552 PKRDAC
bettereos444,1.1011 POKER,1.1011 PKRDAC
bettereos555,1.2705 POKER,1.2705 PKRDAC
bigpac212121,53.5500 POKER,53.5500 PKRDAC
betterlife22,1.1858 POKER,1.1858 PKRDAC
bettereos333,1.5246 POKER,1.5246 PKRDAC
betterlife44,1.1011 POKER,1.1011 PKRDAC
binbinyoulia,1.8739 POKER,1.8739 PKRDAC
binghe111111,1.2000 POKER,1.2000 PKRDAC
bilibilixxxx,1.5390 POKER,1.5390 PKRDAC
bishopbishop,1.7486 POKER,1.7486 PKRDAC
bitedream555,2.0000 POKER,2.0000 PKRDAC
bitongwallet,1.4326 POKER,1.4326 PKRDAC
bitkeepeso51,1.4925 POKER,1.4925 PKRDAC
bitpie4candy,2000.0000 POKER,2000.0000 PKRDAC
bitkeep12345,1.0300 POKER,1.0300 PKRDAC
bithashworld,62.1943 POKER,62.1943 PKRDAC
bitgemeosmat,146.6908 POKER,146.6908 PKRDAC
bitkeepkit12,2.5510 POKER,2.5510 PKRDAC
bitpierobin2,36.5003 POKER,36.5003 PKRDAC
bizbizbizbiz,1.1200 POKER,1.1200 PKRDAC
bitcoinhunte,3.1594 POKER,3.1594 PKRDAC
blacksheepvz,155.2500 POKER,155.2500 PKRDAC
bitpie4users,549.9674 POKER,549.9674 PKRDAC
blackjack123,41.7980 POKER,41.7980 PKRDAC
bitkeepcleos,8.5005 POKER,8.5005 PKRDAC
blockdianone,100.1354 POKER,100.1354 PKRDAC
