account_name,eosdac,pkrdac
foxfanfoxfan,60802.2315 EOSDAC,122.2284 PKRDAC
freedomocean,2348.6798 EOSDAC,4.7215 PKRDAC
friedgermuef,501.0000 EOSDAC,1.0071 PKRDAC
ftowncryptos,100.0000 EOSDAC,0.2010 PKRDAC
fuckeveryday,2.3193 EOSDAC,0.0047 PKRDAC
g13taojrgege,3395.4055 EOSDAC,6.8257 PKRDAC
g42dgmzugene,1812.7835 EOSDAC,3.6442 PKRDAC
g42dknrvgege,5.8370 EOSDAC,0.0117 PKRDAC
g42dsnruhege,84076.1073 EOSDAC,169.0150 PKRDAC
g42tcnrrgyge,1024.2834 EOSDAC,2.0591 PKRDAC
g42tembqhege,52.3866 EOSDAC,0.1053 PKRDAC
g42tgmrrguge,2038.0000 EOSDAC,4.0969 PKRDAC
g42tknzvhege,2331.5890 EOSDAC,4.6871 PKRDAC
g42tmnrvgige,35000.0000 EOSDAC,70.3592 PKRDAC
g42tsmrrgege,3252.9704 EOSDAC,6.5393 PKRDAC
g43dcnjug4ge,353.9390 EOSDAC,0.7115 PKRDAC
g43dkojxgene,200.1492 EOSDAC,0.4024 PKRDAC
g43domrwhage,1004.9514 EOSDAC,2.0202 PKRDAC
g43dqmrsgene,1117.9824 EOSDAC,2.2474 PKRDAC
g43dqobtgege,702.0000 EOSDAC,1.4112 PKRDAC
g43dqojvg4ge,3119.5567 EOSDAC,6.2711 PKRDAC
g43dsobzhege,38665.7630 EOSDAC,77.7283 PKRDAC
g43dsojqgyge,336353.5626 EOSDAC,676.1587 PKRDAC
g43tamzqgene,2399.5000 EOSDAC,4.8236 PKRDAC
g43tcnbugqge,10.0000 EOSDAC,0.0201 PKRDAC
g43temrug4ge,132.7382 EOSDAC,0.2668 PKRDAC
g43tenrvgqge,1280.7691 EOSDAC,2.5747 PKRDAC
g43teobzg4ge,1986.2712 EOSDAC,3.9929 PKRDAC
g43timbqguge,250.0000 EOSDAC,0.5026 PKRDAC
g43timzvhege,2.0000 EOSDAC,0.0040 PKRDAC
g43tinbxhege,820.3290 EOSDAC,1.6491 PKRDAC
g43tinjzgqge,961.4909 EOSDAC,1.9328 PKRDAC
g43tkmagenes,8227.2888 EOSDAC,16.5390 PKRDAC
g43tknztgene,7095.8461 EOSDAC,14.2645 PKRDAC
g43tmnztg4ge,1969.9018 EOSDAC,3.9600 PKRDAC
g43tonjuhage,10006.8792 EOSDAC,20.1164 PKRDAC
g43tsnjsgage,5776.2959 EOSDAC,11.6119 PKRDAC
g43tsnzug4ge,7681.3053 EOSDAC,15.4414 PKRDAC
g44damzsgene,951.7906 EOSDAC,1.9133 PKRDAC
g44damzzg4ge,79.9200 EOSDAC,0.1607 PKRDAC
g44dcmbugmge,497.2705 EOSDAC,0.9996 PKRDAC
g44dcmjqgmge,258221.6371 EOSDAC,519.0931 PKRDAC
g44dcnrug4ge,1001.9757 EOSDAC,2.0142 PKRDAC
g44demjygege,7202.6612 EOSDAC,14.4792 PKRDAC
g44dgobxgene,250.0000 EOSDAC,0.5026 PKRDAC
g44dgojtgige,220998.0210 EOSDAC,444.2639 PKRDAC
g44dinbyhage,6980.4110 EOSDAC,14.0325 PKRDAC
g44dkmjtgqge,3800.0001 EOSDAC,7.6390 PKRDAC
g44dkmrxguge,1085.4410 EOSDAC,2.1820 PKRDAC
g44dkmzthege,173110.0443 EOSDAC,347.9965 PKRDAC
g44dkmzugqge,4096.5150 EOSDAC,8.2351 PKRDAC
g44dknbqgene,1132.4301 EOSDAC,2.2765 PKRDAC
g44dknrwgmge,16336.2216 EOSDAC,32.8401 PKRDAC
g44donzxgyge,33238.8040 EOSDAC,66.8187 PKRDAC
g44dqmjxgige,214388.7553 EOSDAC,430.9775 PKRDAC
g44dqnrwgmge,243438.7235 EOSDAC,489.3756 PKRDAC
